name,category,address,score,eval_cnt,review_cnt
쿠우쿠우 보라매공원점,해산물뷔페,(지번) 신대방동 395-69,2.9,60건,리뷰 125
초밥아저씨,"초밥,롤",(지번) 신림동 1602-2,3.3,23건,리뷰 30
불삼시대,삼겹살,(지번) 신림동 1432-111,3.5,14건,리뷰 85
미남포차,실내포장마차,(지번) 신림동 1429-2,4.7,9건,리뷰 43
장터참숯무한리필 신림점,"육류,고기",(지번) 신림동 1430-5,3.0,8건,리뷰 24
서울밥집,한식,(지번) 신림동 1639-57,3.4,25건,리뷰 27
가네끼스시,"초밥,롤",(지번) 신대방동 395-69,4.1,20건,리뷰 108
어사출또 신림역점,회,(지번) 신림동 1433-64,3.8,8건,리뷰 31
탐나종합어시장,일식집,(지번) 신림동 1422-6,2.5,10건,리뷰 83
해족단,술집,(지번) 신림동 1429-4,4.0,15건,리뷰 57
카페인중독 신림본점,커피전문점,(지번) 신림동 1455-1,2.7,15건,리뷰 45
김덕후의곱창조 신림점,"곱창,막창",(지번) 신림동 1438-23,2.1,16건,리뷰 40
부뚜막,"육류,고기",(지번) 신림동 1433-74,3.2,12건,리뷰 218
부추삼겹살 딱이야 본점,삼겹살,(지번) 신림동 1432-128,4.3,7건,리뷰 83
인생고기,"육류,고기",(지번) 신림동 1458-3,3.5,4건,리뷰 73
아웃백스테이크하우스 신대방점,패밀리레스토랑,(지번) 신대방동 395-69,4.1,19건,리뷰 56
봉평옹심이메밀칼국수,국수,(지번) 신림동 1450-24,4.5,28건,리뷰 49
오첨지,"해물,생선",(지번) 신림동 1639-32,3.9,24건,리뷰 108
쩐호우양꼬치&샤브샤브,양꼬치,(지번) 신림동 1433-74,2.6,18건,리뷰 79
목포수산,회,(지번) 신림동 1587-14,3.9,9건,리뷰 30
라공방 신림점,중화요리,(지번) 신림동 1422-5,3.4,53건,리뷰 144
르브와 신림점,이탈리안,(지번) 신림동 1637-26,3.3,15건,리뷰 138
신도세기 보라매점,"육류,고기",(지번) 신대방동 395-66,3.7,9건,리뷰 93
스시이치자,"초밥,롤",(지번) 신림동 1459-17,4.9,12건,리뷰 39
장수촌 풍천장어직판장,장어,(지번) 신림동 1427-3,3.8,4건,리뷰 12
대원갈비,갈비,(지번) 신림동 1432-68,3.0,9건,리뷰 33
진화로 신림본점,일본식주점,(지번) 신림동 1430-50,3.3,3건,리뷰 94
짬뽕갑 본점,중화요리,(지번) 신림동 1459-4,1.1,12건,리뷰 42
포라인스커피,커피전문점,(지번) 신림동 1639-6,3.5,26건,리뷰 24
아우성황소곱창 신림본점,"곱창,막창",(지번) 신림동 1433-71,3.3,3건,리뷰 122
길초밥,"초밥,롤",(지번) 신림동 1587-29,3.3,20건,리뷰 42
사생활,카페,(지번) 신림동 496-37,4.1,32건,리뷰 159
생생조개,조개,(지번) 신림동 1587-6,3.6,16건,리뷰 54
치킨공방 신림점,치킨,(지번) 신림동 1433-76,3.8,5건,리뷰 27
길동우동집,"돈까스,우동",(지번) 신림동 1424-8,2.1,30건,리뷰 13
할매보쌈,"족발,보쌈",(지번) 신림동 1432-76,3.8,12건,리뷰 41
가야,"호프,요리주점",(지번) 신림동 1640-44,3.9,10건,리뷰 147
미남대게 신림점,"게,대게",(지번) 신림동 1421-45,2.1,12건,리뷰 144
통큰갈비,갈비,(지번) 신림동 1433-32,3.5,15건,리뷰 18
고객만족,"족발,보쌈",(지번) 신림동 1433-58,3.6,8건,리뷰 249
생각보다맛있는집 신림점,국수,(지번) 신림동 1429-2,3.9,9건,리뷰 32
스타벅스 신림점,커피전문점,(지번) 신림동 1432-71,3.0,14건,리뷰 19
조개천하,조개,(지번) 신림동 1638-15,3.8,4건,리뷰 39
투닷츠베이커리 (휴업중),"제과,베이커리",(지번) 신림동 1639-4,3.7,18건,리뷰 54
투썸플레이스 신림역점,커피전문점,(지번) 신림동 1424-28,2.5,8건,리뷰 9
고래감자탕 신림점,감자탕,(지번) 신림동 1438-13,2.6,8건,리뷰 65
도쿄술집 신림역점,일본식주점,(지번) 신림동 1640-35,2.8,4건,리뷰 48
스타벅스 신림사거리점,커피전문점,(지번) 신림동 1422-36,4.2,15건,리뷰 12
봉구통닭 신림역점,치킨,(지번) 신림동 1638-26,4.7,3건,리뷰 134
남고집 신림점,"육류,고기",(지번) 신림동 1422-22,4.1,8건,리뷰 59
포도원삼계탕 2호점,삼계탕,(지번) 신림동 1641-19,3.7,9건,리뷰 103
옛날농장,"육류,고기",(지번) 신림동 1427-4,4.4,5건,리뷰 8
스시락,"초밥,롤",(지번) 신림동 1424-11,3.6,12건,리뷰 27
독도해물탕 신림점,"매운탕,해물탕",(지번) 신림동 1433-76,4.8,4건,리뷰 14
스타벅스 보라매공원R점,커피전문점,(지번) 신대방동 395-65,4.1,17건,리뷰 39
중화요리팔공,중화요리,(지번) 신림동 10-621,4.3,47건,리뷰 80
사이공본가 신림점,베트남음식,(지번) 신림동 1433-88,4.0,13건,리뷰 75
해인어시장,회,(지번) 신림동 1433-120,3.0,4건,리뷰 53
전주식당,한식,(지번) 신림동 1421-41,3.7,11건,리뷰 35
육회공작소 신림점,"육류,고기",(지번) 신림동 1640-41,2.8,6건,리뷰 41
전주익산집,순대,(지번) 신림동 1640-31,3.2,20건,리뷰 580
양평해장국 봉천점,해장국,(지번) 보라매동 972-4,2.8,30건,리뷰 23
